sous_dossier,fichier,k_value,taille_matrice,nan_avant,nan_après
6,matrix_edge_249_95000.csv,5,136×45,1986,67
6,matrix_edge_249_95000.csv,6,136×45,1986,93
6,matrix_edge_249_95000.csv,7,136×45,1986,35
6,matrix_edge_249_95000.csv,8,136×45,1986,47
6,matrix_edge_249_95000.csv,9,136×45,1986,57
6,matrix_edge_249_95000.csv,10,136×45,1986,34
6,matrix_edge_249_95000.csv,11,136×45,1986,40
6,matrix_edge_249_95000.csv,12,136×45,1986,47
6,matrix_edge_249_95000.csv,13,136×45,1986,50
6,matrix_edge_249_95000.csv,14,136×45,1986,44
6,matrix_edge_249_95000.csv,15,136×45,1986,52
6,matrix_edge_249_95000.csv,16,136×45,1986,53
6,matrix_edge_249_95000.csv,17,136×45,1986,50
6,matrix_edge_249_95000.csv,18,136×45,1986,50
6,matrix_edge_249_95000.csv,19,136×45,1986,51
6,matrix_edge_249_95000.csv,20,136×45,1986,51
6,matrix_edge_249_95000.csv,21,136×45,1986,51
6,matrix_edge_249_95000.csv,22,136×45,1986,53
6,matrix_edge_249_95000.csv,23,136×45,1986,53
6,matrix_edge_249_95000.csv,24,136×45,1986,52
6,matrix_edge_249_95000.csv,25,136×45,1986,53
6,matrix_edge_165_55000.csv,5,266×162,14789,356
6,matrix_edge_165_55000.csv,6,266×162,14789,478
6,matrix_edge_165_55000.csv,7,266×162,14789,199
6,matrix_edge_165_55000.csv,8,266×162,14789,287
6,matrix_edge_165_55000.csv,9,266×162,14789,374
6,matrix_edge_165_55000.csv,10,266×162,14789,231
6,matrix_edge_165_55000.csv,11,266×162,14789,299
6,matrix_edge_165_55000.csv,12,266×162,14789,371
6,matrix_edge_165_55000.csv,13,266×162,14789,446
6,matrix_edge_165_55000.csv,14,266×162,14789,321
6,matrix_edge_165_55000.csv,15,266×162,14789,397
6,matrix_edge_165_55000.csv,16,266×162,14789,472
6,matrix_edge_165_55000.csv,17,266×162,14789,379
6,matrix_edge_165_55000.csv,18,266×162,14789,433
6,matrix_edge_165_55000.csv,19,266×162,14789,490
6,matrix_edge_165_55000.csv,20,266×162,14789,416
6,matrix_edge_165_55000.csv,21,266×162,14789,468
6,matrix_edge_165_55000.csv,22,266×162,14789,533
6,matrix_edge_165_55000.csv,23,266×162,14789,583
6,matrix_edge_165_55000.csv,24,266×162,14789,524
6,matrix_edge_165_55000.csv,25,266×162,14789,581
6,matrix_edge_95_100000.csv,5,278×160,15009,331
6,matrix_edge_95_100000.csv,6,278×160,15009,443
6,matrix_edge_95_100000.csv,7,278×160,15009,134
6,matrix_edge_95_100000.csv,8,278×160,15009,196
6,matrix_edge_95_100000.csv,9,278×160,15009,246
6,matrix_edge_95_100000.csv,10,278×160,15009,94
6,matrix_edge_95_100000.csv,11,278×160,15009,128
6,matrix_edge_95_100000.csv,12,278×160,15009,174
6,matrix_edge_95_100000.csv,13,278×160,15009,213
6,matrix_edge_95_100000.csv,14,278×160,15009,118
6,matrix_edge_95_100000.csv,15,278×160,15009,144
6,matrix_edge_95_100000.csv,16,278×160,15009,183
6,matrix_edge_95_100000.csv,17,278×160,15009,122
6,matrix_edge_95_100000.csv,18,278×160,15009,152
6,matrix_edge_95_100000.csv,19,278×160,15009,174
6,matrix_edge_95_100000.csv,20,278×160,15009,131
6,matrix_edge_95_100000.csv,21,278×160,15009,148
6,matrix_edge_95_100000.csv,22,278×160,15009,167
6,matrix_edge_95_100000.csv,23,278×160,15009,190
6,matrix_edge_95_100000.csv,24,278×160,15009,154
6,matrix_edge_95_100000.csv,25,278×160,15009,169
6,matrix_edge_110_175000.csv,5,177×205,11989,319
6,matrix_edge_110_175000.csv,6,177×205,11989,430
6,matrix_edge_110_175000.csv,7,177×205,11989,172
6,matrix_edge_110_175000.csv,8,177×205,11989,235
6,matrix_edge_110_175000.csv,9,177×205,11989,297
6,matrix_edge_110_175000.csv,10,177×205,11989,182
6,matrix_edge_110_175000.csv,11,177×205,11989,220
6,matrix_edge_110_175000.csv,12,177×205,11989,265
6,matrix_edge_110_175000.csv,13,177×205,11989,298
6,matrix_edge_110_175000.csv,14,177×205,11989,230
6,matrix_edge_110_175000.csv,15,177×205,11989,259
6,matrix_edge_110_175000.csv,16,177×205,11989,289
6,matrix_edge_110_175000.csv,17,177×205,11989,226
6,matrix_edge_110_175000.csv,18,177×205,11989,247
6,matrix_edge_110_175000.csv,19,177×205,11989,306
6,matrix_edge_110_175000.csv,20,177×205,11989,259
6,matrix_edge_110_175000.csv,21,177×205,11989,292
6,matrix_edge_110_175000.csv,22,177×205,11989,351
6,matrix_edge_110_175000.csv,23,177×205,11989,378
6,matrix_edge_110_175000.csv,24,177×205,11989,319
6,matrix_edge_110_175000.csv,25,177×205,11989,389
6,matrix_edge_319_115000.csv,5,277×214,19577,333
6,matrix_edge_319_115000.csv,6,277×214,19577,452
6,matrix_edge_319_115000.csv,7,277×214,19577,152
6,matrix_edge_319_115000.csv,8,277×214,19577,211
6,matrix_edge_319_115000.csv,9,277×214,19577,258
6,matrix_edge_319_115000.csv,10,277×214,19577,132
6,matrix_edge_319_115000.csv,11,277×214,19577,166
6,matrix_edge_319_115000.csv,12,277×214,19577,199
6,matrix_edge_319_115000.csv,13,277×214,19577,240
6,matrix_edge_319_115000.csv,14,277×214,19577,156
6,matrix_edge_319_115000.csv,15,277×214,19577,182
6,matrix_edge_319_115000.csv,16,277×214,19577,210
6,matrix_edge_319_115000.csv,17,277×214,19577,156
6,matrix_edge_319_115000.csv,18,277×214,19577,188
6,matrix_edge_319_115000.csv,19,277×214,19577,199
6,matrix_edge_319_115000.csv,20,277×214,19577,167
6,matrix_edge_319_115000.csv,21,277×214,19577,184
6,matrix_edge_319_115000.csv,22,277×214,19577,197
6,matrix_edge_319_115000.csv,23,277×214,19577,226
6,matrix_edge_319_115000.csv,24,277×214,19577,185
6,matrix_edge_319_115000.csv,25,277×214,19577,211
6,matrix_edge_234_100000.csv,5,140×238,10812,389
6,matrix_edge_234_100000.csv,6,140×238,10812,492
6,matrix_edge_234_100000.csv,7,140×238,10812,227
6,matrix_edge_234_100000.csv,8,140×238,10812,302
6,matrix_edge_234_100000.csv,9,140×238,10812,340
6,matrix_edge_234_100000.csv,10,140×238,10812,178
6,matrix_edge_234_100000.csv,11,140×238,10812,209
6,matrix_edge_234_100000.csv,12,140×238,10812,249
6,matrix_edge_234_100000.csv,13,140×238,10812,280
6,matrix_edge_234_100000.csv,14,140×238,10812,181
6,matrix_edge_234_100000.csv,15,140×238,10812,219
6,matrix_edge_234_100000.csv,16,140×238,10812,256
6,matrix_edge_234_100000.csv,17,140×238,10812,195
6,matrix_edge_234_100000.csv,18,140×238,10812,223
6,matrix_edge_234_100000.csv,19,140×238,10812,252
6,matrix_edge_234_100000.csv,20,140×238,10812,207
6,matrix_edge_234_100000.csv,21,140×238,10812,232
6,matrix_edge_234_100000.csv,22,140×238,10812,258
6,matrix_edge_234_100000.csv,23,140×238,10812,275
6,matrix_edge_234_100000.csv,24,140×238,10812,241
6,matrix_edge_234_100000.csv,25,140×238,10812,331
6,matrix_edge_110_655000.csv,5,301×65,6422,99
6,matrix_edge_110_655000.csv,6,301×65,6422,148
6,matrix_edge_110_655000.csv,7,301×65,6422,42
6,matrix_edge_110_655000.csv,8,301×65,6422,63
6,matrix_edge_110_655000.csv,9,301×65,6422,84
6,matrix_edge_110_655000.csv,10,301×65,6422,42
6,matrix_edge_110_655000.csv,11,301×65,6422,50
6,matrix_edge_110_655000.csv,12,301×65,6422,58
6,matrix_edge_110_655000.csv,13,301×65,6422,68
6,matrix_edge_110_655000.csv,14,301×65,6422,46
6,matrix_edge_110_655000.csv,15,301×65,6422,55
6,matrix_edge_110_655000.csv,16,301×65,6422,70
6,matrix_edge_110_655000.csv,17,301×65,6422,50
6,matrix_edge_110_655000.csv,18,301×65,6422,65
6,matrix_edge_110_655000.csv,19,301×65,6422,81
6,matrix_edge_110_655000.csv,20,301×65,6422,61
6,matrix_edge_110_655000.csv,21,301×65,6422,74
6,matrix_edge_110_655000.csv,22,301×65,6422,89
6,matrix_edge_110_655000.csv,23,301×65,6422,106
6,matrix_edge_110_655000.csv,24,301×65,6422,92
6,matrix_edge_110_655000.csv,25,301×65,6422,102
6,matrix_edge_249_15000.csv,5,208×692,47537,1447
6,matrix_edge_249_15000.csv,6,208×692,47537,1981
6,matrix_edge_249_15000.csv,7,208×692,47537,851
6,matrix_edge_249_15000.csv,8,208×692,47537,1192
6,matrix_edge_249_15000.csv,9,208×692,47537,1515
6,matrix_edge_249_15000.csv,10,208×692,47537,878
6,matrix_edge_249_15000.csv,11,208×692,47537,1123
6,matrix_edge_249_15000.csv,12,208×692,47537,1401
6,matrix_edge_249_15000.csv,13,208×692,47537,1657
6,matrix_edge_249_15000.csv,14,208×692,47537,1132
6,matrix_edge_249_15000.csv,15,208×692,47537,1380
6,matrix_edge_249_15000.csv,16,208×692,47537,1724
6,matrix_edge_249_15000.csv,17,208×692,47537,1297
6,matrix_edge_249_15000.csv,18,208×692,47537,1631
6,matrix_edge_249_15000.csv,19,208×692,47537,1981
6,matrix_edge_249_15000.csv,20,208×692,47537,1699
6,matrix_edge_249_15000.csv,21,208×692,47537,2101
6,matrix_edge_249_15000.csv,22,208×692,47537,2563
6,matrix_edge_249_15000.csv,23,208×692,47537,3055
6,matrix_edge_249_15000.csv,24,208×692,47537,2785
6,matrix_edge_249_15000.csv,25,208×692,47537,3398
6,matrix_edge_210_125000.csv,5,263×195,16568,255
6,matrix_edge_210_125000.csv,6,263×195,16568,343
6,matrix_edge_210_125000.csv,7,263×195,16568,111
6,matrix_edge_210_125000.csv,8,263×195,16568,154
6,matrix_edge_210_125000.csv,9,263×195,16568,202
6,matrix_edge_210_125000.csv,10,263×195,16568,93
6,matrix_edge_210_125000.csv,11,263×195,16568,125
6,matrix_edge_210_125000.csv,12,263×195,16568,149
6,matrix_edge_210_125000.csv,13,263×195,16568,177
6,matrix_edge_210_125000.csv,14,263×195,16568,102
6,matrix_edge_210_125000.csv,15,263×195,16568,132
6,matrix_edge_210_125000.csv,16,263×195,16568,168
6,matrix_edge_210_125000.csv,17,263×195,16568,104
6,matrix_edge_210_125000.csv,18,263×195,16568,126
6,matrix_edge_210_125000.csv,19,263×195,16568,151
6,matrix_edge_210_125000.csv,20,263×195,16568,103
6,matrix_edge_210_125000.csv,21,263×195,16568,142
6,matrix_edge_210_125000.csv,22,263×195,16568,185
6,matrix_edge_210_125000.csv,23,263×195,16568,223
6,matrix_edge_210_125000.csv,24,263×195,16568,175
6,matrix_edge_210_125000.csv,25,263×195,16568,231
6,matrix_edge_137_60000.csv,5,224×277,20673,329
6,matrix_edge_137_60000.csv,6,224×277,20673,419
6,matrix_edge_137_60000.csv,7,224×277,20673,133
6,matrix_edge_137_60000.csv,8,224×277,20673,156
6,matrix_edge_137_60000.csv,9,224×277,20673,201
6,matrix_edge_137_60000.csv,10,224×277,20673,83
6,matrix_edge_137_60000.csv,11,224×277,20673,107
6,matrix_edge_137_60000.csv,12,224×277,20673,126
6,matrix_edge_137_60000.csv,13,224×277,20673,148
6,matrix_edge_137_60000.csv,14,224×277,20673,87
6,matrix_edge_137_60000.csv,15,224×277,20673,104
6,matrix_edge_137_60000.csv,16,224×277,20673,119
6,matrix_edge_137_60000.csv,17,224×277,20673,75
6,matrix_edge_137_60000.csv,18,224×277,20673,88
6,matrix_edge_137_60000.csv,19,224×277,20673,104
6,matrix_edge_137_60000.csv,20,224×277,20673,76
6,matrix_edge_137_60000.csv,21,224×277,20673,127
6,matrix_edge_137_60000.csv,22,224×277,20673,154
6,matrix_edge_137_60000.csv,23,224×277,20673,209
6,matrix_edge_137_60000.csv,24,224×277,20673,187
6,matrix_edge_137_60000.csv,25,224×277,20673,191
6,matrix_edge_178_75000.csv,5,44×284,3817,25
6,matrix_edge_178_75000.csv,6,44×284,3817,36
6,matrix_edge_178_75000.csv,7,44×284,3817,0
6,matrix_edge_178_75000.csv,8,44×284,3817,1
6,matrix_edge_178_75000.csv,9,44×284,3817,1
6,matrix_edge_178_75000.csv,10,44×284,3817,0
6,matrix_edge_178_75000.csv,11,44×284,3817,0
6,matrix_edge_178_75000.csv,12,44×284,3817,0
6,matrix_edge_178_75000.csv,13,44×284,3817,0
6,matrix_edge_178_75000.csv,14,44×284,3817,0
6,matrix_edge_178_75000.csv,15,44×284,3817,0
6,matrix_edge_178_75000.csv,16,44×284,3817,0
6,matrix_edge_178_75000.csv,17,44×284,3817,0
6,matrix_edge_178_75000.csv,18,44×284,3817,0
6,matrix_edge_178_75000.csv,19,44×284,3817,0
6,matrix_edge_178_75000.csv,20,44×284,3817,0
6,matrix_edge_178_75000.csv,21,44×284,3817,0
6,matrix_edge_178_75000.csv,22,44×284,3817,0
6,matrix_edge_178_75000.csv,23,44×284,3817,0
6,matrix_edge_178_75000.csv,24,44×284,3817,0
6,matrix_edge_178_75000.csv,25,44×284,3817,0
6,matrix_edge_191_0.csv,5,37×309,3451,20
6,matrix_edge_191_0.csv,6,37×309,3451,27
6,matrix_edge_191_0.csv,7,37×309,3451,2
6,matrix_edge_191_0.csv,8,37×309,3451,4
