Threshold,Error-Rate,Strip,Haplotype,Matrix-Size,Time-Pre-Processing,Time-Post-Processing,Steps-Count,Unused-Cols,Final-Clusters,Orphan-Reads
0.01,0.01,3,4,(30, 25),0.001817941665649414,0.0007555484771728516,3,6,4,0
0.01,0.01,3,4,(27, 18),0.0008478164672851562,0.0006773471832275391,2,7,2,0
0.01,0.01,3,4,(35, 18),0.0011501312255859375,0.0007367134094238281,2,8,2,0
0.01,0.01,3,4,(32, 17),0.0009541511535644531,0.0007395744323730469,2,8,2,0
0.01,0.01,3,4,(32, 24),0.0018422603607177734,0.0008075237274169922,3,5,4,0
0.01,0.01,3,4,(30, 20),0.002302885055541992,0.001180410385131836,3,6,4,0
0.01,0.01,3,4,(29, 18),0.0003845691680908203,0.00012612342834472656,1,9,1,0
0.01,0.01,3,4,(32, 15),0.001453399658203125,0.0007812976837158203,2,6,4,0
0.01,0.01,3,4,(38, 17),0.0009319782257080078,0.0006105899810791016,2,8,2,0
0.01,0.01,3,4,(30, 16),0.0011527538299560547,0.0006864070892333984,2,6,4,0
0.01,0.01,3,6,(44, 24),0.001984834671020508,0.0014040470123291016,3,7,6,0
0.01,0.01,3,6,(47, 19),0.0015673637390136719,0.0012047290802001953,1,13,2,0
0.01,0.01,3,6,(46, 22),0.0021457672119140625,0.0009362697601318359,2,10,3,0
0.01,0.01,3,6,(48, 21),0.0013995170593261719,0.0008373260498046875,2,11,3,0
0.01,0.01,3,6,(43, 19),0.0013761520385742188,0.0007617473602294922,2,8,4,0
0.01,0.01,3,6,(45, 19),0.0017189979553222656,0.0008084774017333984,2,10,4,0
0.01,0.01,3,6,(41, 18),0.0016829967498779297,0.0015330314636230469,2,10,4,0
0.01,0.01,3,6,(49, 19),0.0027065277099609375,0.0013148784637451172,2,10,3,0
0.01,0.01,3,6,(45, 16),0.0015780925750732422,0.0008156299591064453,2,7,4,0
0.01,0.01,3,6,(43, 20),0.0019168853759765625,0.0019037723541259766,3,7,6,0
0.01,0.01,3,8,(55, 24),0.0033524036407470703,0.0021114349365234375,3,9,8,0
0.01,0.01,3,8,(59, 20),0.0013723373413085938,0.0006716251373291016,1,15,2,0
0.01,0.01,3,8,(55, 14),0.0009746551513671875,0.0005624294281005859,1,10,2,0
0.01,0.01,3,8,(61, 15),0.0019254684448242188,0.0013971328735351562,2,7,4,0
0.01,0.01,3,8,(58, 13),0.0015833377838134766,0.0009922981262207031,1,9,2,0
0.01,0.01,3,8,(66, 16),0.00201416015625,0.00121307373046875,1,12,2,0
0.01,0.01,3,8,(69, 20),0.0030090808868408203,0.001110076904296875,2,11,4,0
0.01,0.01,3,8,(50, 20),0.0017120838165283203,0.0009789466857910156,2,10,4,0
0.01,0.01,3,8,(61, 21),0.001735687255859375,0.0008738040924072266,2,13,4,0
0.01,0.01,3,8,(49, 23),0.0015749931335449219,0.0008444786071777344,2,13,4,0
0.01,0.01,4,4,(29, 25),0.0007989406585693359,0.00023889541625976562,1,13,1,0
0.01,0.01,4,4,(24, 31),0.0024988651275634766,0.001459360122680664,3,7,4,0
0.01,0.01,4,4,(38, 26),0.0013818740844726562,0.0007927417755126953,3,7,4,0
0.01,0.01,4,4,(28, 27),0.001504659652709961,0.000823974609375,3,6,4,0
0.01,0.01,4,4,(30, 32),0.0015408992767333984,0.0007128715515136719,3,7,4,0
0.01,0.01,4,4,(27, 27),0.0014472007751464844,0.0010907649993896484,3,6,4,0
0.01,0.01,4,4,(27, 25),0.0014617443084716797,0.0012662410736083984,2,8,2,0
0.01,0.01,4,4,(27, 31),0.002306222915649414,0.0013034343719482422,3,6,4,0
0.01,0.01,4,4,(26, 22),0.0013158321380615234,0.0008573532104492188,2,8,2,0
0.01,0.01,4,4,(29, 25),0.0012044906616210938,0.000885009765625,2,8,2,0
0.01,0.01,4,6,(41, 30),0.0020058155059814453,0.0010259151458740234,4,9,6,0
0.01,0.01,4,6,(48, 26),0.0026776790618896484,0.0015628337860107422,2,15,4,0
0.01,0.01,4,6,(37, 28),0.002722024917602539,0.0017807483673095703,4,7,6,0
0.01,0.01,4,6,(45, 22),0.0024373531341552734,0.0013775825500488281,3,10,4,0
0.01,0.01,4,6,(43, 24),0.002191305160522461,0.0015552043914794922,3,9,6,0
0.01,0.01,4,6,(46, 23),0.0014641284942626953,0.0012545585632324219,1,16,2,0
0.01,0.01,4,6,(39, 20),0.001504659652709961,0.0009398460388183594,1,15,2,0
0.01,0.01,4,6,(45, 24),0.001367807388305664,0.0008234977722167969,1,18,2,0
0.01,0.01,4,6,(39, 23),0.0013098716735839844,0.00102996826171875,2,14,2,0
0.01,0.01,4,6,(49, 28),0.0010094642639160156,0.0006403923034667969,2,15,2,0
0.01,0.01,4,8,(67, 27),0.0020427703857421875,0.0014777183532714844,2,17,4,0
0.01,0.01,4,8,(62, 27),0.002353191375732422,0.0009386539459228516,3,14,4,0
0.01,0.01,4,8,(56, 27),0.0016987323760986328,0.0008060932159423828,2,16,4,0
0.01,0.01,4,8,(52, 30),0.0018587112426757812,0.0012366771697998047,4,11,8,0
0.01,0.01,4,8,(60, 28),0.0010800361633300781,0.0006213188171386719,2,18,2,0
0.01,0.01,4,8,(66, 27),0.001383066177368164,0.0010046958923339844,1,19,2,0
0.01,0.01,4,8,(65, 21),0.0006535053253173828,0.00033092498779296875,1,17,1,0
0.01,0.01,4,8,(60, 29),0.0025081634521484375,0.0011751651763916016,2,20,4,0
0.01,0.01,4,8,(61, 26),0.0014278888702392578,0.0010042190551757812,1,20,2,0
0.01,0.01,4,8,(63, 24),0.001005411148071289,0.0006084442138671875,1,19,2,0
0.01,0.01,5,4,(32, 33),0.0008602142333984375,0.0005960464477539062,2,12,2,0
0.01,0.01,5,4,(29, 33),0.001722574234008789,0.0012814998626708984,3,8,4,0
