,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
9f3c6890-8866-eb3e-820e-246d02c3bd3f,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
a9c286c2-0e8e-85f1-a69d-2bec987de286,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
a0017edd-498f-07c2-aeed-6324d8d09459,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
ea332dbb-17eb-b1f1-417e-b677c3ee526d,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
39403557-839d-ba85-7878-9ab07a719d4f,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
aaa6619d-c834-3a84-f401-8489ea94d650,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ee180216-b668-56a7-608f-c26ea085cbf2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
434cbf50-850b-e1fb-d045-20e65eb4a277,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
e484b364-813c-1b06-af65-325cf8f661d3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6ce5df70-8335-3314-e940-975cac4e1a49,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1e4c22d1-7ec8-750d-fd9a-ff84eb8ac29e,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b712ec1c-01da-974d-e27b-95200e237959,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
81e1b6be-3cf3-874d-62af-9fcc44cb963f,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3465462e-a2ac-5727-6a76-64ee94d506d2,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
4511a992-0669-c5ff-cb95-9bc43b91b4fb,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
faa2625a-c92e-ee5a-3fff-7c47016c11b0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1
02db68fd-9458-2ad3-9e0b-f9d823050c18,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
b6b2595e-457d-7936-6119-f70b4b72a3a2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
dc2f2e5f-7aa4-23fb-8f9d-42f9d9064865,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6c9cd23c-43b3-1015-d013-17087e5f162f,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
a1f7cc0f-b33c-fa04-48c7-896dde4fc6fe,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
c913b543-89c9-e396-f9de-212b7873f43f,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0fdc35bf-66f6-9ac0-fc91-c34304f11061,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b7119fb1-38cc-0c65-ee7a-d2eb18f85f84,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
f5679ce0-e41d-6909-f59d-f42a96ae0d03,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1e1da3ce-f6f6-99e4-906a-d6f92ef68349,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
722a960c-365f-e6f6-f6e5-f1050d15bf91,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b089e72b-be8b-521e-7835-cd020047ed6b,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
d3e09c85-27f3-bf0c-6c36-9559c3d07697,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
09a3cfa8-5f20-1564-d8d6-995d598f9f95,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1
eb785a0d-3076-0406-f6a8-74a901d66252,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
caddb495-446b-51a6-3e2e-b783ef504480,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
33d534cc-140e-b241-c130-0663a605ad9b,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
313ef73a-7ea7-d2b2-933f-9078c9b9dd34,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
faea16c3-4407-2831-8e36-e580ddf2fe9e,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
557c1658-447c-4904-4f41-ce7533102f34,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
d1c18668-6682-e099-269e-cd361158d313,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9d3d2812-ea55-4f79-8eb4-e30927d3c081,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
582c6eeb-40e1-b2aa-5ce1-acbcc651d805,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
b35e28fa-984f-148e-259e-baedcfaf2193,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
a13444a2-90bc-52fd-1229-53c961078ac2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
