,0,1,2,3,4,5,6,7
read_47,1,1,1,1,1,1,1,1
read_142,1,1,1,1,1,1,1,1
read_146,1,1,1,1,1,1,1,1
read_162,1,1,1,1,1,1,1,1
read_167,0,0,0,0,0,0,0,0
read_180,1,1,1,1,1,1,1,1
read_182,0,0,0,0,0,0,0,0
read_185,1,1,1,1,1,1,1,1
read_189,0,0,0,0,0,0,0,0
read_194,1,1,1,1,1,1,1,1
read_200,1,1,1,1,1,1,1,1
read_201,0,0,0,0,0,0,0,0
read_203,1,1,1,1,1,1,1,1
read_205,1,1,1,1,1,1,1,1
read_209,1,1,1,1,1,1,1,1
read_211,0,0,0,0,0,0,0,0
read_216,0,0,0,0,0,0,0,0
read_217,1,1,1,1,1,1,1,1
read_218,1,1,1,1,1,1,1,1
read_219,1,1,1,1,1,1,1,1
read_221,0,0,0,0,0,0,0,0
read_222,0,0,0,0,0,0,0,0
read_224,1,1,1,1,1,1,1,1
read_226,1,1,1,1,1,1,1,1
read_228,1,1,1,1,1,1,1,1
read_231,1,1,1,1,1,1,1,1
read_232,0,0,0,0,0,0,0,0
read_234,1,1,1,1,1,1,1,1
read_235,1,1,1,1,1,1,1,1
read_236,1,1,1,1,1,1,1,1
read_237,1,1,1,1,1,1,1,1
read_238,0,0,0,0,0,0,0,0
read_239,1,1,1,1,1,1,1,1
read_240,0,0,0,0,0,0,0,0
read_241,0,0,0,0,0,0,0,0
read_242,1,1,1,1,1,1,1,1
read_245,0,0,0,0,0,0,0,0
read_246,1,1,1,1,1,1,1,1
read_247,1,1,1,1,1,1,1,1
read_249,1,1,1,1,1,1,1,1
read_250,1,1,1,1,1,1,1,1
read_252,1,1,1,1,1,1,1,1
read_253,1,1,1,1,1,1,1,1
read_254,1,1,1,1,1,1,1,1
read_255,0,0,0,0,0,0,0,0
read_256,1,1,1,1,1,1,1,1
read_257,1,1,1,1,1,1,1,1
read_261,0,0,0,0,0,0,0,0
read_262,0,0,0,0,0,0,0,0
read_263,0,0,0,0,0,0,0,0
read_265,1,1,1,1,1,1,1,1
read_267,0,0,0,0,0,0,0,0
read_268,1,1,1,1,1,1,1,1
read_271,0,0,0,0,0,0,0,0
read_272,1,1,1,1,1,1,1,1
read_273,0,0,0,0,0,0,0,0
read_274,1,1,1,1,1,1,1,1
read_275,0,0,0,0,0,0,0,0
read_276,0,0,0,0,0,0,0,0
read_278,1,1,1,1,1,1,1,1
read_279,1,1,1,1,1,1,1,1
read_280,1,1,1,1,1,1,1,1
read_281,1,1,1,1,1,1,1,1
read_282,1,1,1,1,1,1,1,1
read_67,0,0,0,0,0,0,0,0
read_155,0,0,0,0,0,0,0,0
read_164,1,1,1,1,1,1,1,1
read_177,0,0,0,0,0,0,0,0
read_184,1,1,1,1,1,1,1,1
read_223,1,1,1,1,1,1,1,1
read_251,1,1,1,1,1,1,1,1
read_258,0,0,0,0,0,0,0,0
read_260,1,1,1,1,1,1,1,1
read_264,1,1,1,1,1,1,1,1
read_270,1,1,1,1,1,1,1,1
read_277,0,0,0,0,0,0,0,0
read_283,0,0,0,0,0,0,0,0
read_150,1,1,1,1,1,1,1,1
