,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
read_676,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
read_744,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
read_796,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
read_803,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
read_820,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
read_821,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
read_825,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
read_827,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
read_840,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
read_845,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
read_847,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
read_850,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
read_856,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
read_858,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
read_859,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
read_860,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
read_861,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
read_863,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
read_867,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
read_868,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
read_869,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
read_870,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
read_871,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
read_872,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
read_874,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
read_875,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
read_877,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
read_878,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
read_880,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
read_881,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
read_883,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
read_884,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
read_885,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
read_887,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
read_888,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
read_889,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
read_890,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
read_892,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
read_893,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
read_897,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
read_829,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
read_844,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
read_855,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
read_891,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
read_898,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
read_882,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
read_894,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
read_899,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
read_900,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
