,0
read_466,1
read_506,1
read_518,1
read_525,1
read_533,1
read_534,1
read_546,0
read_548,1
read_550,0
read_553,1
read_554,1
read_558,1
read_559,0
read_560,1
read_561,1
read_562,0
read_564,1
read_565,1
read_567,0
read_569,1
read_570,0
read_571,1
read_572,1
read_573,0
read_574,1
read_575,1
read_577,1
read_578,1
read_579,1
read_581,1
read_582,1
read_584,1
read_585,1
read_586,1
read_587,0
read_588,1
read_589,1
read_591,1
read_592,1
read_593,0
read_594,1
read_595,1
read_596,1
read_597,1
read_598,1
read_600,1
read_601,1
read_602,0
read_603,0
read_604,1
read_605,1
read_606,0
read_607,1
read_608,0
read_609,1
read_610,1
read_611,1
read_612,1
read_613,0
read_614,1
read_615,1
read_616,1
read_617,1
read_618,0
read_619,1
read_620,1
read_621,1
read_622,1
read_623,1
read_624,0
