,0,1,2,3,4,5,6,7,8,9,10,11
read_26,1,0,1,0,0,0,1,1,1,1,1,1
read_32,1,0,1,0,0,0,1,1,1,1,1,1
read_35,0,1,0,1,1,1,0,0,0,0,0,0
read_36,1,1,1,1,1,1,1,1,1,1,1,1
read_44,0,1,0,1,1,1,0,0,0,0,1,0
read_47,1,1,1,1,1,1,1,1,1,1,1,1
read_69,1,1,1,1,1,1,1,1,1,1,1,1
read_29,0,1,0,1,1,1,0,0,0,0,0,0
read_38,1,0,1,0,0,0,1,1,1,1,1,1
read_41,1,1,1,1,1,1,1,1,1,1,1,1
read_67,0,1,0,1,1,1,0,0,0,0,0,0
read_73,1,0,1,0,0,0,1,1,1,1,1,1
read_75,1,1,1,1,1,1,1,1,1,1,1,1
read_77,1,0,1,0,0,0,1,1,1,1,1,1
read_79,1,0,1,0,0,0,1,1,1,1,1,1
read_81,1,1,1,1,1,1,1,1,1,1,1,1
read_85,1,1,1,1,1,1,1,1,1,1,1,1
read_9,1,1,1,1,1,1,1,1,1,1,1,1
read_68,1,1,1,1,1,1,1,1,1,1,1,1
read_78,1,0,1,0,0,0,1,1,1,1,1,1
read_82,1,0,1,0,0,0,1,1,1,1,1,1
read_87,1,0,1,0,0,0,1,1,1,1,1,1
read_90,1,0,1,0,0,0,1,1,1,1,1,1
read_96,1,0,1,0,0,0,1,1,1,1,1,1
read_98,1,1,1,1,1,1,1,1,1,1,1,1
read_99,1,0,1,0,0,0,1,1,1,1,1,1
read_100,0,1,0,1,1,1,0,0,0,0,0,0
read_101,1,0,1,0,0,0,1,1,1,1,1,1
read_103,1,1,1,1,1,1,1,1,1,1,1,1
read_104,0,1,0,1,1,1,0,0,0,0,0,0
read_107,0,1,0,1,1,1,0,0,0,0,0,0
read_108,0,1,0,1,1,1,0,0,0,0,1,0
read_110,1,1,1,1,1,1,1,1,1,1,1,1
read_112,1,1,1,1,1,1,1,1,1,1,1,1
read_114,1,1,1,1,1,1,1,1,1,1,1,1
read_115,0,1,0,1,1,1,0,0,0,0,0,0
read_116,0,1,0,1,1,1,0,0,0,0,0,0
read_117,0,1,0,1,1,1,0,0,0,0,0,0
read_118,1,0,1,0,0,0,1,1,1,1,1,1
read_119,1,1,1,1,1,1,1,1,1,1,1,1
read_120,0,1,0,1,1,1,0,0,0,0,0,0
read_121,1,1,1,1,1,1,1,1,1,1,1,1
read_123,1,1,1,1,1,1,1,1,1,1,1,1
read_124,1,0,1,0,0,0,1,1,1,1,1,1
read_125,1,0,1,0,0,0,1,1,1,1,1,1
read_126,1,1,1,1,1,1,1,1,1,1,1,1
read_127,1,0,1,0,0,0,1,1,1,1,1,1
read_128,1,1,1,1,1,1,1,1,1,1,1,1
read_129,1,1,1,1,1,1,1,1,1,1,1,1
read_130,0,1,0,1,1,1,0,0,0,0,0,0
read_131,1,0,1,0,0,0,1,1,1,1,1,1
read_132,0,1,0,1,1,1,0,0,0,0,0,0
read_133,1,0,1,0,0,0,1,1,1,1,1,1
read_134,1,0,1,0,0,0,1,1,1,1,1,1
read_135,1,1,1,1,1,1,1,1,1,1,1,1
read_136,1,1,1,1,1,1,1,1,1,1,1,1
read_66,1,1,1,1,1,1,1,1,1,1,1,1
read_30,1,0,1,0,0,0,1,1,1,1,1,1
read_37,1,0,1,0,0,0,1,1,1,1,1,1
read_80,1,1,1,1,1,1,1,1,1,1,1,1
read_92,1,0,1,0,0,0,1,1,1,1,1,1
read_97,1,0,1,0,0,0,1,1,1,1,1,1
read_139,0,1,0,1,1,1,0,0,0,0,0,0
read_143,0,1,0,1,1,1,0,0,0,0,0,0
read_141,1,0,1,0,0,0,1,1,1,1,1,1
read_142,1,0,1,0,0,0,1,1,1,1,1,1
read_144,1,1,1,1,1,1,1,1,1,1,1,1
read_145,1,1,1,1,1,1,1,1,1,1,1,1
read_148,1,1,1,1,1,1,1,1,1,1,1,1
read_149,1,0,1,0,0,0,1,1,1,1,1,1
read_151,1,1,1,1,1,1,1,1,1,1,1,1
read_153,1,1,1,1,1,1,1,1,1,1,1,1
read_146,1,1,1,1,1,1,1,1,1,1,1,1
read_150,1,0,1,0,0,0,1,1,1,1,1,1
