,0,1,2,3,4,5,6,7,8,9
read_672,1,1,1,1,1,1,1,1,1,0
read_676,1,1,1,1,1,1,1,1,1,1
read_744,1,1,1,1,1,1,1,1,1,0
read_755,0,0,0,0,0,0,0,0,0,1
read_769,1,1,1,1,1,1,1,1,1,0
read_772,1,1,1,1,1,1,1,1,1,0
read_778,1,1,1,1,1,1,1,1,1,0
read_785,0,0,0,0,0,0,0,0,0,1
read_787,0,0,0,0,0,0,0,0,0,1
read_789,1,1,1,1,1,1,1,1,1,0
read_794,0,0,0,0,0,0,0,0,0,1
read_796,1,1,1,1,1,1,1,1,1,1
read_799,0,0,0,0,0,0,0,0,0,1
read_800,1,1,1,1,1,1,1,1,1,0
read_803,0,0,0,0,0,0,0,0,0,1
read_805,1,1,1,1,1,1,1,1,1,0
read_806,1,1,1,1,1,1,1,1,1,1
read_807,1,1,1,1,1,1,1,1,1,0
read_808,0,0,0,0,0,0,0,0,0,1
read_811,0,0,0,0,0,0,0,0,0,1
read_812,0,0,0,0,0,0,0,0,0,1
read_814,1,1,1,1,1,1,1,1,1,0
read_817,1,1,1,1,1,1,1,1,1,0
read_818,1,1,1,1,1,1,1,1,1,0
read_819,1,1,1,1,1,1,1,1,1,0
read_820,1,1,1,1,1,1,1,1,1,0
read_821,1,1,1,1,1,1,1,1,1,0
read_823,0,0,0,0,0,0,0,0,0,1
read_825,0,0,0,0,0,0,0,0,0,1
read_827,1,1,1,1,1,1,1,1,1,0
read_828,1,1,1,1,1,1,1,1,1,0
read_830,0,0,0,0,0,0,0,0,0,1
read_832,1,1,1,1,1,1,1,1,1,1
read_833,0,0,0,0,0,0,0,0,0,1
read_834,0,0,0,0,0,0,0,0,0,1
read_836,0,0,0,0,0,0,0,0,0,1
read_837,1,1,1,1,1,1,1,1,1,0
read_838,0,0,0,0,0,0,0,0,0,1
read_839,0,0,0,0,0,0,0,0,0,1
read_840,1,1,1,1,1,1,1,1,1,0
read_842,1,1,1,1,1,1,1,1,1,0
read_844,0,0,0,0,0,0,0,0,0,1
read_845,0,0,0,0,0,0,0,0,0,1
read_846,1,1,1,1,1,1,1,1,1,0
read_848,1,1,1,1,1,1,1,1,1,1
read_849,1,1,1,1,1,1,1,1,1,1
read_850,1,1,1,1,1,1,1,1,1,0
read_851,0,0,0,0,0,0,0,0,0,1
read_852,0,0,0,1,0,0,0,0,0,1
read_854,1,1,1,1,1,1,1,1,1,0
read_855,1,1,1,1,1,1,1,1,1,1
read_856,1,1,1,1,1,1,1,1,1,1
read_822,0,0,0,0,0,0,0,0,0,1
read_829,1,1,1,1,1,1,1,1,1,0
read_847,1,1,1,1,1,1,1,1,1,0
read_857,1,1,1,1,1,1,1,1,1,1
read_858,0,0,0,0,0,0,0,0,0,1
read_859,1,1,1,1,1,1,1,1,1,1
