,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
read_548,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
read_559,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
read_564,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
read_566,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
read_579,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
read_581,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
read_603,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
read_610,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
read_623,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
read_624,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
read_625,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
read_631,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
read_635,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
read_636,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
read_638,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
read_640,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
read_641,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
read_647,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
read_648,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
read_649,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
read_652,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
read_653,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
read_658,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
read_659,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
read_661,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
read_665,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
read_669,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
read_670,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
read_672,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
read_673,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
read_676,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
read_677,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
read_678,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
read_679,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
read_680,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
read_681,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
read_683,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
read_685,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
read_686,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
read_687,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
read_688,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0
read_689,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
read_691,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
read_692,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
read_694,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
read_695,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
read_697,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
read_606,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
read_642,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
read_662,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
read_682,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
read_698,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
read_699,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
read_700,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
read_701,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
read_702,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
read_703,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
read_704,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
read_705,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
read_706,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
read_707,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
read_708,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
read_709,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
read_710,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
read_711,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
read_712,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
read_713,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
read_714,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
read_715,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
read_716,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
read_717,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
read_718,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
read_719,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
read_721,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
read_722,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
read_723,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
read_724,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
read_725,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
read_726,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
read_727,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
read_728,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
read_863,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
read_887,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
read_924,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1
read_930,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
read_932,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
read_934,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
read_943,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
read_917,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
read_720,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
